nzseg_v3,catchment_area,grid_area,grid_coverage
15313596,8015744.0,0.0,0.0
15323028,38976.0,0.0,0.0
15314180,1532992.0,1532992.0,1.0
15291332,3678528.0,3678528.0,1.0
15429854,310208.0,310208.0,1.0
15396878,3350272.0,1443416.52251198,0.43083562
15313636,507456.0,507456.0,1.0
15207036,955008.0,955008.0,1.0
15313572,103168.0,103168.0,1.0
15274828,1631616.0,1631616.0,1.0
15313500,623680.0,623680.0,1.0
15247812,1856128.0,1856128.0,1.0
15313292,2024384.0,2024384.0,1.0
15210684,857984.0,857984.0,1.0
15429694,173568.0,173568.0,1.0
15372942,1961344.0,1183051.20599981,0.60318394
15311708,5818368.0,0.0,0.0
15312484,5327296.0,0.0,0.0
15429550,1856.0,1856.0,1.0
15336238,558016.0,557037.00799999,0.99824558
15429502,3572352.0,2962795.19608774,0.82936821
15423934,485888.0,485888.0,1.0
15311916,1723072.0,1723072.0,1.0
15312668,589952.0,589952.0,1.0
15430318,807872.0,807872.0,1.0
15363086,1435136.0,1435136.0,1.0
15430518,2233600.0,2233600.0,1.0
15334598,936576.0,936576.0,1.0
15424654,50944.0,50944.0,1.0
15430630,1277952.0,1277952.0,1.0
15424470,609600.0,609600.0,1.0
15423430,6849664.0,6849664.0,1.0
15429030,2771904.0,2093819.05188768,0.75537214
15366294,2336960.0,1371510.04391174,0.58687784
15306772,1075072.0,0.0,0.0
15307188,3621568.0,0.0,0.0
15428726,2009600.0,1870608.01711201,0.930836
15374533,1480512.0,1480512.0,1.0
15423894,245120.0,245120.0,1.0
15348958,896128.0,896128.0,1.0
15311052,410816.0,410816.0,1.0
15307332,1447808.0,1447808.0,1.0
15423726,1914944.0,1914944.0,1.0
15423062,6557184.0,6557184.0,1.0
15423526,1164160.0,1164160.0,1.0
15423422,1806208.0,1806208.0,1.0
15336228,1671040.0,1022822.48731249,0.61208738
15295316,1600.0,1600.0,1.0
15420446,59392.0,59392.0,1.0
15419990,2274112.0,2274112.0,1.0
15386093,419136.0,419136.0,1.0
15421070,2042944.0,2042944.0,1.0
15419270,8909888.0,8909888.0,1.0
15419086,4254464.0,4254464.0,1.0
15386029,3543040.0,3543040.0,1.0
15314941,1399168.0,1399168.0,1.0
15311668,1620096.0,0.0,0.0
15274916,2664064.0,0.0,0.0
15312052,2009792.0,2009792.0,1.0
15133956,3267776.0,3267776.0,1.0
15312908,4212864.0,4212864.0,1.0
15336284,190016.0,190016.0,1.0
15309484,1337536.0,0.0,0.0
15282812,3696704.0,0.0,0.0
15384133,308480.0,308480.0,1.0
15310685,1725632.0,1725632.0,1.0
15310372,1471680.0,1471680.0,1.0
15272092,2040768.0,2040768.0,1.0
15384005,15001792.0,9709198.77319869,0.6472026
15377277,4198080.0,3630325.07171169,0.86475843
15428486,348416.0,348416.0,1.0
15394870,3200576.0,1184229.98408755,0.37000527
15367213,4723200.0,0.0,0.0
15375461,12128064.0,0.0,0.0
15309060,780480.0,780480.0,1.0
15285108,2128128.0,2128128.0,1.0
15310388,720064.0,720064.0,1.0
15292676,119552.0,119552.0,1.0
15307468,89984.0,0.0,0.0
15302580,6912576.0,0.0,0.0
15304484,2091008.0,0.0,0.0
15296124,6376448.0,0.0,0.0
15305460,201344.0,201344.0,1.0
15308292,1218432.0,1218432.0,1.0
15384741,593536.0,593536.0,1.0
15338565,3943744.0,3943744.0,1.0
15307732,8656768.0,8050162.08499978,0.92992698
15308812,1514176.0,1514176.0,1.0
15377653,3102912.0,1742949.89246411,0.56171425
15361341,7551552.0,1651250.64688867,0.21866375
15296476,160576.0,160576.0,1.0
15303204,4749248.0,2358224.57999944,0.49654694
15428126,1503488.0,1503488.0,1.0
15319166,516928.0,516928.0,1.0
15306556,811200.0,0.0,0.0
15258532,1525952.0,0.0,0.0
15384165,1854016.0,1854016.0,1.0
15338469,1960512.0,1960512.0,1.0
15310204,6799104.0,0.0,0.0
15322892,2440512.0,0.0,0.0
15371965,2075584.0,2075531.252,0.99997459
15427718,6643392.0,2491165.06691148,0.3749839
15303428,360448.0,0.0,0.0
15250180,1662720.0,0.0,0.0
15299972,14311616.0,0.0,0.0
15301156,13686400.0,0.0,0.0
15372869,937664.0,508853.27608801,0.54268189
15365549,1979904.0,224075.65100055,0.11317501
15379957,2764864.0,1384178.3899115,0.50063164
15343061,1478720.0,1478720.0,1.0
