basarea,uparea,rchindex,rchid,dsrch_nrch,dsrch_rchid,start_lat,end_lat,start_lon,end_lon,numuprch,uprch_nrch1,uprch_nrch2,uprch_nrch3,uprch_nrch4,uprch_nrch5,uprch_nrch6,uprch_nrch7,uprch_nrch8,uprch_nrch9,uprch_nrch10,uprch_rchid1,uprch_rchid2,uprch_rchid3,uprch_rchid4,uprch_rchid5,uprch_rchid6,uprch_rchid7,uprch_rchid8,uprch_rchid9,uprch_rchid10,rchslope,rchman_n,rchwidth,rchlength,,,
941504,5040000,24,15373990,21,15439750,-46.181,-46.19,168.067,168.058,2,492,493,-999,-999,-999,-999,-999,-999,-999,-999,15356702,15326806,-999,-999,-999,-999,-999,-999,-999,-999,0.0138,0.024,3.28,1446,,,
884864,1187876000,25,15439510,23,15439550,-46.183,-46.186,168.044,168.054,2,27,28,-999,-999,-999,-999,-999,-999,-999,-999,15439454,15395262,-999,-999,-999,-999,-999,-999,-999,-999,0.0011,0.024,55.57,980,,,
2286080,2286000,26,15374166,23,15439550,-46.159,-46.186,168.06,168.054,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0095,0.024,2.18,2985,,,
1103680,1177713000,27,15439454,25,15439510,-46.174,-46.183,168.04,168.044,2,29,30,-999,-999,-999,-999,-999,-999,-999,-999,15439254,15311390,-999,-999,-999,-999,-999,-999,-999,-999,0.0044,0.024,55.33,1291,,,
59648,9278000,28,15395262,25,15439510,-46.182,-46.183,168.041,168.044,2,393,394,-999,-999,-999,-999,-999,-999,-999,-999,15394398,15378582,-999,-999,-999,-999,-999,-999,-999,-999,0.0177,0.024,4.5,430,,,
145536,1175714000,29,15439254,27,15439454,-46.174,-46.174,168.037,168.04,2,31,32,-999,-999,-999,-999,-999,-999,-999,-999,15439230,15364846,-999,-999,-999,-999,-999,-999,-999,-999,0.0001,0.024,55.28,197,,,
895872,896000,30,15311390,27,15439454,-46.161,-46.174,168.045,168.04,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0263,0.024,1.34,921,,,
575616,1173002000,31,15439230,29,15439254,-46.173,-46.174,168.029,168.037,2,33,34,-999,-999,-999,-999,-999,-999,-999,-999,15438990,15396038,-999,-999,-999,-999,-999,-999,-999,-999,9.00E-04,0.024,55.21,962,,,
2565952,2566000,32,15364846,29,15439254,-46.153,-46.174,168.039,168.037,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0194,0.024,2.31,981,,,
1820416,1161619000,33,15438990,31,15439230,-46.157,-46.173,168.011,168.029,2,35,36,-999,-999,-999,-999,-999,-999,-999,-999,15438726,15264086,-999,-999,-999,-999,-999,-999,-999,-999,0.003,0.024,54.94,2682,,,
10807872,10808000,34,15396038,31,15439230,-46.175,-46.173,167.996,168.029,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0143,0.024,4.87,5136,,,
437248,1159399000,35,15438726,33,15438990,-46.151,-46.157,168.006,168.011,2,37,38,-999,-999,-999,-999,-999,-999,-999,-999,15438630,15387430,-999,-999,-999,-999,-999,-999,-999,-999,0.0031,0.024,54.88,891,,,
399808,4.00E+05,36,15264086,33,15438990,-46.157,-46.157,168.017,168.011,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0311,0.024,0.88,552,,,
56896,1153900000,37,15438630,35,15438726,-46.148,-46.151,168.006,168.006,2,39,40,-999,-999,-999,-999,-999,-999,-999,-999,15438598,15061126,-999,-999,-999,-999,-999,-999,-999,-999,0.009,0.024,54.75,370,,,
1082304,5061000,38,15387430,35,15438726,-46.15,-46.151,168.002,168.006,2,494,495,-999,-999,-999,-999,-999,-999,-999,-999,15374110,15295038,-999,-999,-999,-999,-999,-999,-999,-999,0.0124,0.024,3.29,436,,,
